method,domain,occupation,rank,neighbor,similarity
graph,transferable_skills,15-2041.00,3,15-2051.01,0.8431372549019608
graph,transferable_skills,15-2051.02,1,19-1029.04,0.8722490606548579
graph,transferable_skills,15-2051.02,2,19-2042.00,0.8533131006575618
graph,transferable_skills,15-2051.02,3,15-1243.01,0.8529936305732483
graph,knowledge,15-2051.00,1,15-2041.00,0.7392405063291139
graph,knowledge,15-2051.00,2,13-2099.01,0.7259585166561912
graph,knowledge,15-2051.00,3,15-2021.00,0.7165422171165994
graph,knowledge,15-2051.01,1,13-1161.01,0.7609122118685633
graph,knowledge,15-2051.01,2,15-1254.00,0.7245696400625977
graph,knowledge,15-2051.01,3,13-1161.00,0.7214867617107945
graph,knowledge,15-1242.00,1,15-1299.08,0.8170785525154457
graph,knowledge,15-1242.00,2,15-1212.00,0.8122320018054615
graph,knowledge,15-1242.00,3,15-1241.00,0.7912450505939287
graph,knowledge,15-1243.00,1,15-1253.00,0.7853587115666179
graph,knowledge,15-1243.00,2,15-1243.01,0.76431718061674
graph,knowledge,15-1243.00,3,15-1299.07,0.748235294117647
graph,knowledge,15-1243.01,1,15-1243.00,0.76431718061674
graph,knowledge,15-1243.01,2,15-1253.00,0.7580543272267846
graph,knowledge,15-1243.01,3,15-1252.00,0.7198697068403908
graph,knowledge,15-2031.00,1,15-1299.07,0.7477053424335138
graph,knowledge,15-2031.00,2,15-1243.00,0.723127035830619
graph,knowledge,15-2031.00,3,19-4099.03,0.7226966292134831
graph,knowledge,15-2041.00,1,15-2041.01,0.7960908610670892
graph,knowledge,15-2041.00,2,15-2051.00,0.7392405063291139
graph,knowledge,15-2041.00,3,15-2051.02,0.7020693093991524
graph,knowledge,15-2051.02,1,15-2041.01,0.771435819381025
graph,knowledge,15-2051.02,2,29-2057.00,0.7164544564152792
graph,knowledge,15-2051.02,3,13-1041.07,0.7163185678218958
embedding,essential_skills,15-2051.00,1,43-9111.00,0.9993933642868825
embedding,essential_skills,15-2051.00,2,17-1022.01,0.9987950901941419
embedding,essential_skills,15-2051.00,3,13-2099.01,0.9985807530384319
embedding,essential_skills,15-2051.01,1,13-1141.00,0.9994507673507345
embedding,essential_skills,15-2051.01,2,13-1161.00,0.9994078118863636
embedding,essential_skills,15-2051.01,3,41-9031.00,0.999234110089444
embedding,essential_skills,15-1242.00,1,15-1254.00,0.999872159765138
embedding,essential_skills,15-1242.00,2,15-1243.00,0.9996168882661809
embedding,essential_skills,15-1242.00,3,11-9021.00,0.9994495436527204
embedding,essential_skills,15-1243.00,1,15-1242.00,0.9996168882661809
embedding,essential_skills,15-1243.00,2,15-1241.00,0.9995772903270547
embedding,essential_skills,15-1243.00,3,17-3023.00,0.9995116032644081
embedding,essential_skills,15-1243.01,1,15-1241.00,0.9996928695400537
embedding,essential_skills,15-1243.01,2,15-1243.00,0.9994805584094275
embedding,essential_skills,15-1243.01,3,17-3023.00,0.9994405169165576
embedding,essential_skills,15-2031.00,1,15-2041.00,0.9992052050224991
embedding,essential_skills,15-2031.00,2,17-2199.07,0.9990658216148459
embedding,essential_skills,15-2031.00,3,17-2141.02,0.9990399735970931
embedding,essential_skills,15-2041.00,1,15-2041.01,0.9995610116950197
embedding,essential_skills,15-2041.00,2,15-2031.00,0.9992052050224991
embedding,essential_skills,15-2041.00,3,19-2043.00,0.9985576160499954
embedding,essential_skills,15-2051.02,1,51-3092.00,0.9997570795756157
embedding,essential_skills,15-2051.02,2,17-3011.00,0.9996281052904707
embedding,essential_skills,15-2051.02,3,49-3042.00,0.9996077066221547
embedding,transferable_skills,15-2051.00,1,43-9111.00,0.996723013742979
embedding,transferable_skills,15-2051.00,2,19-1029.04,0.995636378722308
embedding,transferable_skills,15-2051.00,3,15-2051.01,0.9955170913011661
embedding,transferable_skills,15-2051.01,1,13-1161.01,0.9988828220809897
embedding,transferable_skills,15-2051.01,2,19-3022.00,0.9987614974000574
embedding,transferable_skills,15-2051.01,3,19-3032.00,0.9982812493316708
embedding,transferable_skills,15-1242.00,1,15-1299.01,0.9989978648637728
embedding,transferable_skills,15-1242.00,2,15-1255.00,0.9986689881079183
embedding,transferable_skills,15-1242.00,3,15-1299.07,0.9983769984499344
embedding,transferable_skills,15-1243.00,1,15-1299.07,0.9987599392996112
embedding,transferable_skills,15-1243.00,2,15-1243.01,0.9985046799048364
embedding,transferable_skills,15-1243.00,3,15-1221.00,0.9983393366344941
embedding,transferable_skills,15-1243.01,1,15-1243.00,0.9985046799048364
embedding,transferable_skills,15-1243.01,2,15-1254.00,0.9984936172984313
embedding,transferable_skills,15-1243.01,3,19-2099.01,0.998082605080143
embedding,transferable_skills,15-2031.00,1,15-2041.00,0.9979620954890063
embedding,transferable_skills,15-2031.00,2,19-1029.01,0.9974708558349747
embedding,transferable_skills,15-2031.00,3,17-2199.03,0.9971714238327875
embedding,transferable_skills,15-2041.00,1,15-2041.01,0.9987444044485053
embedding,transferable_skills,15-2041.00,2,19-1029.01,0.9986058700663665
embedding,transferable_skills,15-2041.00,3,15-2031.00,0.9979620954890063
embedding,transferable_skills,15-2051.02,1,19-4061.00,0.9990173667322455
embedding,transferable_skills,15-2051.02,2,15-1211.01,0.9984347671627908
embedding,transferable_skills,15-2051.02,3,15-2099.01,0.9981277300516291
embedding,knowledge,15-2051.00,1,15-2041.00,0.9944001162483179
embedding,knowledge,15-2051.00,2,15-1221.00,0.9942478579492049
embedding,knowledge,15-2051.00,3,15-1253.00,0.9932418633857875
embedding,knowledge,15-2051.01,1,13-2022.00,0.9945246709806218
embedding,knowledge,15-2051.01,2,13-1111.00,0.9933974347136123
embedding,knowledge,15-2051.01,3,41-3031.00,0.9933560052689471
embedding,knowledge,15-1242.00,1,15-1211.00,0.9979398040589798
embedding,knowledge,15-1242.00,2,15-1299.08,0.9978804373570861
embedding,knowledge,15-1242.00,3,15-1252.00,0.9976682400622529
embedding,knowledge,15-1243.00,1,15-1299.07,0.9971142308638311
embedding,knowledge,15-1243.00,2,15-1243.01,0.9969377538796196
embedding,knowledge,15-1243.00,3,15-1253.00,0.996710161117318
embedding,knowledge,15-1243.01,1,15-1243.00,0.9969377538796196
embedding,knowledge,15-1243.01,2,15-1253.00,0.9960648867491186
embedding,knowledge,15-1243.01,3,15-1252.00,0.9956239503974433
embedding,knowledge,15-2031.00,1,15-1299.07,0.9956076368400141
embedding,knowledge,15-2031.00,2,13-1081.01,0.9953406075365143
embedding,knowledge,15-2031.00,3,15-1243.00,0.9951820708745444
embedding,knowledge,15-2041.00,1,15-2041.01,0.9958652575968261
embedding,knowledge,15-2041.00,2,15-2051.00,0.9944001162483179
embedding,knowledge,15-2041.00,3,15-2099.01,0.992703584297578
embedding,knowledge,15-2051.02,1,29-2052.00,0.9955715226025045
embedding,knowledge,15-2051.02,2,15-1211.01,0.9955200488882117
embedding,knowledge,15-2051.02,3,29-2099.01,0.9953272944022985
